owner,dt_create,dt_update,description,name,photo,price,tags,type
,,,,"Sunlight(10/-, 500gm, 1Kg)",,"45/kg,10/pack",,
,,,,"Wheel (10/-, 1Kg)",,"94/500 gms,185/kg",,
,,,,"Surf Excel Quickwash(500gm, 1Kg)",,"68/500 gms,187/1.5 gms",,
,,,,Surf Excel Blue(500gms&1.5 kgs),,"94/500 gms,185/kg",,
,,,,"Ariel(2/- pouch, 500gm, 1Kg)",,"5,10,24/pack",,
,,,,"Vim Bar(Box,Smal,Medium & Large)",,43/500 gms,,
,,,,Exo,,43/500 gms,,
,,,,Odopic,,"85/425 ml,50/small",,
,,,,Pril(Bottle),,"53/ small,105/medium size",,
,,,,"Vim Liquid(pouch, Bottle 500 gms)",,25/kg,,
,,,,Vim Powder,,"10/pack,29/pack,46/pack",,
,,,,Surf Excel bar,,5/pack,,
,,,,Rin bar,,17/pack,,
,,,,Sunlight bar,,"10/pack,6/pack",,
,,,,Tide bar,,5/pack,,
,,,,Wheel bar,,52/500 ml,,
,,,,Ala,,"49/powder,75/liquid",,
,,,Phenoel ,Vanish,,88/liter,,
,,,,Nimyle Green,,77/liter,,
,,,,Nimyle White,,60/liter,,
,,,,Bengal Chemicals ,,69/.5 liter,,
,,,,Lizol,,66/ .5 liter,,
,,,,Domex,,68/500 ml,,
,,,,Harpic,,69/500 ml,,
,,,,Harpic Red,,35/200 gms,,
,,,,Bleaching Powder,,55/450 ml,,
,,,,Local(Black),,46/450 ml,,
,,,handwash,Local(White),,"38/pouch,69/ dispensive",,
,,,,Dettol,,"40/pouch,69/dispensive",,
,,,,Lifebuoy,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,"135/180 ml,60/80 ml",,
,,,,Head&shoulders(sachet&bottle),,75/80 ml,,
,,,,Pantene(sachet&bottle),,"120/yellow,207/black",,
,,,,Sunsilk yellow and black,,"40/150,72/200",,
,,,,Nihar Naturals,,"34/100 ml,73/200 ml",,
,,,,Parachute Jasmine,,"34/100 ml,53/200 ml",,
,,,Tooth Paste,Uttam Coconut Oil,,"17/50 gms,42/100 gms,",,
,,,,Colgate Strong teeth,,"57/100 gms,100/150 gms",,
,,,,Colgate Total,,"45/100 gms,86/200 gms",,
,,,,Colgate salt,,"45/100 gms,82/150 gms",,
,,,,Max Fresh,,94/140 gms,,
,,,,Pepsodent G,,84/200 gms,,
